"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"BCG";"97,81";"96,83";"93,82";"116,74";"85,83";"93,89";"104,75";"105,69";"93,94";"109,59";"67,22";"104,00";"97,25";"110,92";"98,50";"86,96";"94,81";"91,93";"115,38";"100,95";"96,31";"87,04";"91,29";"122,81";"96,61";"88,67";"93,61";"97,98"
"Hepatite B  em crianças até 30 dias";"90,09";"82,56";"85,45";"113,83";"74,97";"83,21";"91,32";"94,09";"87,55";"99,02";"60,88";"85,38";"86,24";"91,35";"94,58";"76,13";"81,89";"83,30";"94,66";"91,78";"75,25";"79,49";"76,23";"103,22";"87,77";"71,04";"102,41";"85,88"
"Rotavírus Humano";"94,66";"76,11";"74,51";"92,88";"65,30";"70,77";"89,09";"72,10";"77,34";"103,00";"69,53";"84,84";"83,35";"85,50";"81,85";"75,59";"89,21";"85,05";"83,52";"90,79";"89,80";"97,49";"84,87";"93,44";"83,13";"83,79";"85,81";"85,12"
"Meningococo C";"94,94";"78,63";"81,17";"91,37";"71,83";"71,07";"90,01";"78,14";"81,35";"103,92";"71,45";"85,49";"85,66";"90,18";"83,31";"82,14";"89,34";"83,23";"91,32";"89,74";"92,01";"98,65";"88,04";"93,91";"87,17";"84,75";"84,26";"87,44"
"Hepatite B";"109,01";"72,58";"75,99";"94,47";"61,63";"60,37";"85,77";"73,70";"76,09";"96,96";"69,02";"82,48";"86,09";"82,38";"80,03";"77,05";"87,33";"82,36";"93,65";"87,71";"90,74";"88,88";"83,78";"93,11";"85,07";"78,72";"84,76";"84,40"
"Penta";"108,92";"72,57";"75,96";"94,24";"61,60";"60,22";"85,76";"73,67";"76,08";"96,91";"68,99";"82,44";"85,96";"82,29";"80,02";"76,99";"87,32";"82,26";"93,49";"87,18";"90,66";"88,87";"83,74";"92,79";"85,03";"78,63";"84,69";"84,24"
"Pneumocócica";"107,68";"84,66";"86,72";"99,84";"76,80";"72,65";"93,17";"83,86";"85,46";"109,36";"76,73";"91,12";"91,78";"92,97";"87,19";"85,61";"92,74";"90,15";"97,21";"95,85";"95,06";"95,43";"91,27";"99,33";"91,19";"88,23";"89,31";"92,15"
"Poliomielite";"108,18";"74,01";"76,43";"90,52";"67,63";"63,18";"86,05";"74,26";"78,10";"97,34";"69,52";"82,34";"84,67";"83,88";"79,00";"78,34";"87,07";"83,22";"88,76";"87,71";"90,41";"95,11";"85,73";"91,49";"84,07";"81,56";"84,41";"84,74"
"Poliomielite 4 anos";"60,88";"39,93";"49,35";"86,93";"24,91";"14,38";"66,53";"37,79";"54,14";"64,96";"41,23";"53,51";"58,07";"59,40";"66,02";"45,66";"74,16";"67,15";"65,59";"74,03";"74,70";"87,46";"69,70";"75,48";"64,15";"65,58";"74,36";"62,26"
"Febre Amarela";"107,67";"62,66";"70,32";"96,83";"59,14";"61,48";"73,28";"65,86";"69,85";"1,66";"0,48";"1,06";"0,89";"1,17";"0,53";"72,81";"81,76";"61,95";"26,44";"24,09";"69,74";"28,98";"55,51";"86,08";"82,06";"73,95";"77,95";"47,37"
"Hepatite A";"85,23";"65,77";"75,46";"88,15";"64,13";"64,89";"81,50";"68,11";"76,28";"93,14";"62,02";"83,53";"81,35";"87,96";"75,94";"72,54";"86,22";"73,57";"85,40";"76,13";"86,35";"83,33";"78,52";"85,31";"79,80";"77,45";"81,36";"78,94"
"Pneumocócica(1º ref)";"83,42";"66,16";"74,27";"86,65";"61,32";"62,58";"77,81";"66,87";"75,21";"91,08";"64,93";"74,25";"78,94";"83,10";"75,84";"68,59";"81,15";"77,06";"81,40";"74,66";"82,79";"82,23";"77,86";"85,41";"74,77";"72,56";"74,26";"76,31"
"Meningococo C (1º ref)";"86,61";"70,76";"77,57";"83,49";"65,46";"65,76";"83,85";"70,30";"77,90";"92,25";"65,20";"73,13";"79,94";"81,23";"77,41";"73,84";"82,81";"77,52";"79,83";"77,61";"84,25";"87,02";"80,50";"85,00";"78,62";"76,60";"76,30";"78,56"
"Poliomielite(1º ref)";"79,34";"60,79";"63,25";"89,25";"52,12";"27,25";"74,10";"59,56";"71,46";"85,77";"60,27";"69,89";"75,98";"80,26";"70,05";"63,21";"80,37";"72,98";"77,20";"77,45";"76,98";"84,11";"74,28";"81,57";"74,54";"71,34";"78,39";"73,57"
"Tríplice Viral  D1";"103,01";"75,14";"79,83";"86,53";"67,51";"71,98";"83,26";"76,86";"77,82";"100,69";"75,55";"90,90";"96,39";"99,22";"83,24";"79,16";"89,27";"83,79";"94,29";"86,72";"88,13";"91,81";"83,34";"91,18";"85,25";"80,99";"78,50";"86,24"
