"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"BCG";"104,90";"99,23";"95,87";"107,95";"81,62";"113,86";"99,23";"90,11";"83,90";"108,82";"89,26";"97,27";"98,90";"104,97";"97,11";"84,07";"89,41";"90,61";"106,29";"94,33";"94,11";"102,01";"94,42";"106,14";"96,55";"92,31";"138,11";"95,55"
"Hepatite B  em crianças até 30 dias";"99,55";"88,86";"85,80";"79,97";"55,28";"86,08";"77,44";"71,30";"68,93";"96,84";"72,08";"75,29";"84,72";"81,44";"94,63";"71,59";"76,13";"79,85";"85,83";"89,81";"75,64";"87,12";"72,63";"98,35";"89,84";"68,60";"134,78";"81,75"
"Rotavírus Humano";"104,70";"76,81";"75,15";"86,72";"69,33";"95,33";"91,00";"74,24";"78,54";"112,01";"76,75";"88,90";"93,79";"83,30";"84,28";"74,05";"92,20";"91,78";"93,67";"90,32";"90,74";"98,79";"88,29";"97,89";"90,78";"87,81";"129,62";"88,98"
"Meningococo C";"105,46";"78,69";"82,77";"97,78";"72,49";"96,36";"92,43";"76,51";"79,81";"115,99";"79,53";"89,19";"96,15";"89,65";"84,90";"77,67";"94,75";"94,01";"98,30";"90,42";"93,55";"101,36";"91,16";"101,41";"95,67";"87,68";"148,87";"91,68"
"Hepatite B";"119,63";"81,55";"106,98";"92,39";"76,33";"99,65";"106,61";"87,50";"88,08";"125,04";"83,49";"97,01";"103,40";"98,57";"82,14";"83,73";"105,35";"117,67";"120,07";"110,04";"104,69";"121,84";"110,43";"102,64";"105,80";"105,04";"159,70";"105,19"
"Penta";"103,31";"74,92";"82,35";"91,68";"67,08";"92,84";"88,14";"73,12";"78,98";"111,47";"76,32";"87,54";"94,29";"84,74";"81,78";"76,86";"93,25";"92,14";"96,70";"88,48";"91,58";"97,64";"88,27";"98,98";"95,42";"84,89";"140,25";"89,27"
"Pneumocócica";"104,22";"84,98";"88,36";"100,64";"75,72";"103,85";"97,31";"80,74";"82,49";"119,75";"84,42";"93,52";"100,13";"94,37";"87,71";"79,58";"95,71";"95,64";"107,63";"93,58";"95,22";"103,02";"94,30";"103,30";"99,64";"91,78";"140,73";"95,00"
"Poliomielite";"105,44";"71,27";"76,24";"88,45";"63,15";"47,59";"84,77";"69,43";"70,69";"107,89";"70,25";"85,46";"90,38";"80,07";"78,29";"70,72";"88,29";"89,28";"89,93";"83,84";"87,54";"92,12";"84,46";"93,78";"90,64";"82,10";"136,83";"84,43"
"Febre Amarela";"114,05";"64,33";"75,83";"87,95";"59,57";"91,49";"77,26";"68,62";"71,72";"0,44";"0,41";"0,78";"0,51";"0,50";"0,40";"69,45";"86,03";"0,42";"0,22";"18,63";"67,58";"30,75";"61,16";"93,76";"89,14";"79,54";"132,73";"44,59"
"Hepatite A";"84,04";"60,42";"68,07";"72,93";"55,85";"87,09";"75,63";"56,54";"60,31";"94,11";"63,17";"74,95";"76,36";"72,88";"68,47";"60,53";"79,07";"78,10";"77,94";"63,43";"75,43";"84,03";"72,74";"83,15";"78,33";"72,30";"107,07";"71,58"
"Pneumocócica(1º ref)";"100,89";"58,13";"79,58";"86,85";"59,71";"74,92";"84,19";"67,43";"75,44";"112,13";"73,17";"77,02";"90,72";"80,95";"80,04";"67,93";"85,85";"92,44";"87,37";"86,84";"84,05";"93,69";"84,95";"93,96";"85,86";"79,68";"123,76";"84,10"
"Meningococo C (1º ref)";"109,15";"73,01";"88,89";"114,81";"74,02";"90,67";"109,59";"77,11";"93,42";"117,20";"88,25";"90,47";"103,12";"90,23";"90,83";"82,72";"106,79";"107,60";"98,73";"80,76";"102,10";"97,05";"98,55";"113,21";"98,15";"94,40";"153,72";"93,86"
"Poliomielite(1º ref)";"73,56";"58,75";"68,19";"87,45";"43,22";"29,41";"89,23";"56,96";"66,81";"88,34";"61,27";"67,91";"71,55";"75,56";"63,74";"63,64";"90,57";"78,53";"64,52";"77,72";"75,00";"87,25";"89,85";"87,46";"77,84";"75,35";"101,15";"74,36"
"Tríplice Viral  D1";"109,79";"75,71";"83,56";"90,77";"69,61";"97,36";"91,89";"80,01";"81,48";"119,76";"96,05";"96,59";"112,65";"102,24";"92,09";"85,70";"98,93";"104,31";"109,26";"92,96";"91,87";"98,97";"90,45";"100,98";"96,68";"85,93";"131,75";"95,41"
"Tríplice Viral  D2";"94,32";"64,20";"75,60";"83,50";"62,34";"85,95";"88,28";"47,58";"60,91";"88,70";"50,44";"56,66";"68,22";"60,50";"70,86";"56,24";"88,38";"78,35";"72,17";"77,73";"91,29";"98,38";"86,47";"94,30";"85,08";"84,19";"128,41";"76,71"
"Tetra Viral(SRC+VZ)";"94,97";"64,45";"75,80";"83,64";"62,39";"86,08";"88,32";"51,68";"65,66";"91,06";"54,28";"61,22";"70,12";"63,96";"75,19";"59,46";"91,82";"81,52";"73,79";"80,97";"92,63";"99,59";"87,12";"94,94";"85,98";"85,20";"129,99";"79,04"
"DTP";"103,52";"75,02";"82,42";"91,68";"67,08";"92,84";"88,14";"73,31";"79,16";"111,66";"76,37";"87,67";"94,43";"84,81";"81,91";"77,82";"93,28";"92,27";"97,11";"88,94";"91,70";"97,96";"88,43";"99,06";"95,48";"84,94";"140,41";"89,53"
"DTP REF (4 e 6 anos)";"2,55";"3,90";"2,54";"2,95";"2,58";"4,19";"2,28";"2,67";"2,14";"2,10";"3,93";"1,83";"3,24";"3,90";"2,01";"2,58";"2,18";"2,82";"3,51";"2,38";"2,77";"1,86";"3,25";"2,49";"3,05";"4,48";"3,38";"2,73"
"Tríplice Bacteriana(DTP)(1º ref)";"76,61";"60,11";"46,95";"86,44";"49,08";"66,50";"69,89";"46,38";"63,27";"80,56";"62,53";"65,37";"78,67";"67,08";"76,89";"62,10";"76,59";"61,56";"55,69";"59,59";"65,13";"66,22";"60,86";"89,37";"73,95";"57,54";"103,62";"64,28"
"Dupla adulto e tríplice acelular gestante";"67,24";"10,05";"36,65";"55,85";"14,19";"55,32";"11,52";"29,13";"18,60";"70,28";"34,49";"31,06";"53,31";"44,78";"23,74";"25,16";"17,32";"48,69";"42,45";"24,23";"18,48";"27,48";"24,76";"46,68";"37,37";"28,70";"85,71";"31,53"
"dTpa gestante";"59,53";"7,84";"42,85";"50,22";"13,72";"52,23";"19,23";"28,32";"16,40";"59,12";"30,41";"28,28";"49,22";"41,31";"21,14";"26,96";"25,14";"49,87";"52,38";"26,42";"30,94";"34,36";"26,13";"40,61";"33,66";"41,76";"74,74";"33,81"
"Tetravalente (DTP/Hib) (TETRA)";"10,14";"6,02";"3,13";"7,66";"5,53";"3,19";"5,49";"6,19";"4,98";"4,77";"5,87";"5,78";"6,92";"4,57";"3,95";"7,13";"3,63";"2,76";"4,45";"5,02";"4,15";"4,98";"5,43";"7,42";"7,87";"6,07";"4,10";"5,21"
"Ignorado";"23,71";"18,77";"16,25";"21,50";"17,82";"23,18";"31,04";"16,78";"18,62";"14,04";"11,97";"16,09";"15,37";"11,59";"13,87";"17,18";"24,07";"13,59";"12,21";"11,84";"21,39";"20,18";"19,06";"25,70";"23,42";"20,79";"25,56";"16,44"
"Total";"63,77";"46,91";"48,27";"57,41";"41,43";"56,62";"60,94";"43,38";"46,94";"56,44";"42,23";"50,10";"51,43";"44,88";"47,05";"44,35";"57,58";"51,19";"47,98";"45,94";"55,32";"58,88";"53,86";"63,55";"58,32";"53,60";"75,28";"50,44"
