"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"BCG";"110,77";"105,90";"110,79";"110,55";"94,87";"121,56";"107,48";"103,64";"86,27";"114,62";"105,90";"105,73";"110,06";"102,18";"105,80";"102,89";"102,41";"102,26";"115,06";"102,20";"105,66";"110,14";"103,74";"129,60";"109,26";"105,30";"78,27";"105,08"
"Hepatite B  em crianças até 30 dias";"104,78";"69,63";"101,09";"74,28";"81,63";"97,87";"94,35";"93,20";"81,03";"96,59";"94,42";"87,11";"87,25";"93,04";"110,58";"87,18";"88,92";"94,10";"87,66";"92,51";"90,97";"99,28";"82,65";"115,86";"100,77";"82,63";"96,65";"90,93"
"Rotavírus Humano";"103,95";"82,50";"88,88";"94,18";"72,51";"82,33";"97,73";"90,71";"85,48";"107,60";"89,86";"92,51";"100,78";"90,10";"92,63";"88,36";"101,89";"98,00";"98,91";"97,00";"99,75";"107,21";"90,85";"117,69";"99,35";"96,99";"65,45";"95,35"
"Meningococo C";"104,02";"88,64";"94,91";"95,34";"76,55";"88,76";"98,73";"92,53";"87,43";"110,05";"95,23";"94,18";"102,53";"95,30";"92,95";"93,76";"103,38";"99,66";"104,08";"98,62";"102,77";"108,57";"95,57";"120,46";"102,94";"96,73";"70,05";"98,19"
"Hepatite B";"106,35";"82,62";"95,21";"97,26";"73,63";"85,74";"100,00";"92,09";"82,37";"108,66";"91,01";"95,19";"104,38";"92,53";"94,09";"93,42";"100,98";"101,12";"103,85";"100,68";"101,88";"106,00";"91,92";"118,97";"102,05";"97,66";"67,49";"97,74"
"Penta";"104,54";"81,24";"94,61";"96,71";"73,13";"84,65";"98,70";"91,67";"82,04";"106,69";"90,58";"93,55";"103,59";"91,40";"93,93";"92,98";"100,70";"99,62";"99,31";"98,36";"101,26";"104,63";"91,28";"117,87";"101,73";"94,87";"66,43";"96,30"
"Pneumocócica";"104,68";"72,48";"84,54";"89,86";"60,36";"69,18";"93,92";"84,05";"82,38";"106,34";"89,02";"92,05";"101,07";"88,29";"92,94";"90,24";"100,89";"99,93";"94,10";"99,93";"101,22";"106,09";"90,52";"117,25";"97,53";"89,88";"69,91";"94,23"
"Poliomielite";"105,44";"82,74";"104,80";"112,28";"72,09";"92,38";"97,22";"100,02";"80,92";"113,68";"97,64";"96,12";"109,29";"94,25";"93,69";"95,42";"97,12";"99,39";"107,03";"99,68";"97,39";"102,43";"89,20";"120,36";"102,81";"95,88";"74,92";"98,29"
"Febre Amarela";"106,06";"66,67";"92,52";"93,64";"57,71";"76,80";"83,28";"87,32";"74,20";"0,36";"0,38";"0,58";"0,50";"0,51";"0,36";"83,29";"91,00";"0,39";"0,51";"19,70";"76,99";"28,02";"55,61";"108,81";"94,98";"84,80";"62,37";"46,31"
"Hepatite A";"116,26";"73,22";"97,74";"98,21";"73,83";"88,47";"94,52";"91,82";"87,08";"102,26";"87,97";"83,36";"96,59";"98,05";"95,57";"94,42";"100,35";"94,01";"99,65";"102,42";"105,64";"103,16";"96,25";"112,53";"99,49";"90,65";"74,69";"97,07"
