"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"BCG";"93,61";"100,93";"96,97";"135,55";"87,65";"102,95";"104,06";"105,11";"97,90";"104,89";"107,70";"105,35";"106,53";"112,92";"106,33";"84,27";"100,85";"99,98";"105,72";"101,28";"97,93";"92,72";"90,98";"129,56";"106,14";"93,58";"89,50";"99,72"
"Hepatite B  em crianças até 30 dias";"91,54";"94,50";"90,42";"131,06";"78,03";"91,72";"100,67";"95,23";"91,40";"96,84";"101,38";"98,96";"100,25";"97,41";"108,43";"76,07";"91,22";"91,78";"81,92";"90,29";"66,45";"81,47";"76,03";"125,29";"97,66";"79,13";"111,05";"88,40"
"Rotavírus Humano";"96,62";"82,64";"80,25";"92,19";"71,64";"76,54";"93,40";"82,89";"85,27";"116,54";"86,00";"96,07";"95,24";"98,33";"93,09";"80,01";"99,96";"93,64";"89,71";"92,58";"92,42";"95,11";"91,21";"97,01";"91,86";"88,42";"88,30";"91,33"
"Meningococo C";"99,65";"75,96";"79,16";"82,15";"65,18";"68,30";"79,72";"78,18";"84,20";"115,10";"84,30";"94,91";"94,30";"100,65";"89,86";"78,30";"98,00";"89,55";"87,86";"88,89";"91,45";"93,13";"82,56";"94,83";"89,11";"87,63";"88,69";"88,49"
"Hepatite B";"99,94";"70,66";"79,36";"83,52";"58,04";"63,09";"90,04";"80,64";"85,95";"107,78";"89,54";"91,61";"94,66";"98,51";"91,47";"77,25";"98,05";"89,84";"88,20";"91,73";"90,90";"94,28";"84,97";"94,93";"89,17";"83,80";"86,26";"88,53"
"Penta";"99,94";"70,66";"79,36";"83,52";"58,04";"63,09";"90,04";"80,63";"85,95";"107,76";"89,42";"91,60";"94,65";"98,44";"91,47";"77,24";"98,05";"89,83";"88,16";"91,57";"90,90";"94,28";"84,97";"94,80";"89,17";"83,77";"86,26";"88,49"
"Pneumocócica";"103,21";"89,64";"90,04";"93,27";"78,83";"78,47";"100,71";"89,43";"88,81";"120,59";"94,52";"100,71";"101,48";"104,33";"96,94";"84,20";"102,17";"96,32";"94,12";"95,95";"94,48";"93,10";"91,68";"101,95";"97,50";"91,75";"91,45";"95,25"
"Poliomielite";"101,89";"78,34";"79,25";"79,79";"69,09";"68,74";"91,68";"80,61";"83,71";"111,08";"90,32";"92,26";"94,72";"96,13";"89,74";"78,25";"97,75";"90,95";"87,48";"92,55";"90,88";"94,59";"85,70";"95,95";"90,27";"85,54";"86,03";"89,54"
"Poliomielite 4 anos";"59,28";"37,61";"56,36";"63,95";"27,23";"23,17";"62,70";"36,57";"48,33";"68,11";"43,10";"55,53";"59,01";"62,76";"63,03";"43,23";"75,52";"76,98";"59,07";"75,63";"82,93";"89,80";"77,40";"98,04";"64,14";"63,32";"73,15";"63,62"
"Febre Amarela";"89,69";"66,74";"69,88";"72,72";"63,11";"65,56";"81,08";"72,36";"76,92";"1,12";"0,80";"1,07";"1,12";"3,11";"1,19";"69,14";"94,19";"73,87";"49,26";"60,18";"75,96";"59,63";"58,65";"90,15";"84,65";"78,68";"83,59";"59,50"
"Hepatite A";"82,06";"76,05";"78,16";"83,38";"67,66";"68,19";"84,08";"70,62";"76,38";"93,68";"77,22";"83,19";"82,55";"89,19";"81,98";"73,53";"91,46";"88,57";"81,56";"83,59";"88,55";"87,16";"83,78";"91,90";"83,01";"81,55";"85,21";"82,69"
"Pneumocócica(1º ref)";"88,09";"73,34";"78,69";"78,03";"64,61";"64,06";"89,67";"73,03";"80,03";"99,00";"80,43";"78,40";"86,12";"91,97";"83,00";"71,21";"90,86";"88,89";"75,20";"81,70";"88,07";"86,62";"82,69";"95,78";"83,88";"82,36";"79,40";"81,99"
"Meningococo C (1º ref)";"89,63";"67,39";"76,48";"80,58";"59,05";"62,16";"73,15";"70,20";"78,35";"100,60";"74,47";"76,04";"85,03";"91,84";"81,46";"73,11";"89,99";"81,46";"70,70";"80,98";"87,68";"86,21";"76,79";"89,04";"80,27";"82,50";"83,37";"80,22"
"Poliomielite(1º ref)";"74,30";"58,27";"66,89";"82,78";"51,29";"39,14";"74,95";"59,03";"57,59";"87,36";"64,76";"70,48";"75,59";"84,30";"71,17";"58,11";"82,12";"77,56";"67,53";"76,45";"78,69";"82,26";"76,74";"101,73";"70,14";"72,40";"70,93";"72,83"
"Tríplice Viral  D1";"101,65";"83,11";"89,81";"99,32";"77,30";"77,10";"91,21";"84,04";"87,79";"111,46";"88,70";"96,73";"104,72";"107,18";"95,47";"82,30";"97,52";"95,47";"99,66";"91,46";"89,78";"92,12";"88,72";"104,53";"89,77";"87,81";"86,32";"92,61"
"Tríplice Viral  D2";"78,87";"71,92";"78,00";"88,27";"59,97";"63,88";"78,86";"56,88";"69,17";"87,14";"64,49";"72,18";"69,54";"72,09";"71,93";"65,06";"85,03";"79,50";"70,18";"81,84";"86,23";"83,42";"83,11";"97,62";"79,53";"76,76";"87,05";"76,89"
"Tetra Viral(SRC+VZ)";"53,43";"59,06";"58,52";"71,34";"48,29";"51,17";"65,92";"15,44";"2,94";"11,75";"13,52";"8,61";"11,29";"19,86";"1,23";"5,46";"9,73";"7,34";"8,88";"37,16";"63,22";"68,81";"68,63";"78,83";"60,46";"59,51";"82,12";"33,26"
"DTP REF (4 e 6 anos)";"62,27";"53,12";"65,82";"70,52";"44,06";"56,10";"65,28";"45,53";"57,89";"72,83";"52,13";"57,88";"65,60";"66,56";"65,91";"50,65";"80,49";"80,39";"60,67";"75,60";"92,70";"93,13";"76,94";"88,05";"72,00";"67,39";"75,13";"68,52"
"Tríplice Bacteriana(DTP)(1º ref)";"72,16";"63,25";"69,56";"77,10";"53,94";"53,83";"74,54";"63,02";"70,08";"84,39";"65,63";"66,37";"76,51";"82,56";"73,02";"64,65";"85,89";"78,76";"63,94";"75,54";"74,54";"84,58";"75,22";"87,32";"72,74";"69,87";"78,01";"73,27"
"Dupla adulto e tríplice acelular gestante";"46,15";"41,42";"52,72";"39,52";"41,19";"45,90";"45,80";"42,30";"49,56";"72,78";"44,94";"49,43";"53,39";"62,33";"44,37";"32,10";"43,04";"56,10";"41,67";"39,52";"42,67";"53,00";"46,18";"60,29";"46,78";"36,90";"53,31";"44,99"
"dTpa gestante";"59,28";"56,56";"65,79";"61,47";"52,72";"53,72";"70,06";"59,80";"65,72";"79,86";"58,08";"62,15";"61,47";"67,32";"57,52";"50,61";"68,47";"73,89";"55,50";"52,37";"66,66";"68,94";"61,18";"66,88";"59,30";"61,28";"61,54";"60,23"
"Total";"82,92";"69,84";"75,22";"83,50";"60,48";"63,76";"81,12";"68,11";"72,86";"88,44";"70,92";"74,48";"76,95";"81,19";"75,21";"65,37";"84,74";"80,98";"72,67";"78,80";"82,41";"84,46";"78,27";"94,40";"80,78";"76,79";"82,22";"77,13"
